"contract_address","brand_id","is_sponsored","face_value","budget_total","budget_left","outstanding","assigns_180d","redeems_180d","p_upper","cap_face"
"0x00000000000000000000000000000000000530","47","false","10","0","0","0","5263","335","0.06381766381766381766","0"
"0x00000000000000000000000000000000000531","135","false","5","0","0","0","4270","151","0.03558052434456928839","0"
"0x00000000000000000000000000000000000532","529","false","5","0","0","0","745","14","0.02008032128514056225","0"
"0x00000000000000000000000000000000000533","661","false","4","0","0","0","9938","177","0.01790744466800804829","0"
"0x00000000000000000000000000000000000534","673","false","10","0","0","0","4279","175","0.04111188974538659192","0"
"0x00000000000000000000000000000000000535","686","false","5","0","0","0","133","8","0.06666666666666666667","0"
"0x00000000000000000000000000000000000536","778","false","5","0","0","0","3755","34","0.00931594357199893532","0"
"0x00000000000000000000000000000000000537","835","false","10","0","0","0","4722","159","0.03386960203217612193","0"
"0x00000000000000000000000000000000000540","908","false","10","0","0","0","4401","116","0.02657279127867363161","0"
"0x00000000000000000000000000000000000542","938","false","6","0","0","0","3826","70","0.01854754440961337513","0"
"0x00000000000000000000000000000000000543","8153","false","10","0","0","0","0","0","0.50000000000000000000","0"
"0x00000000000000000000000000000000000547","682","false","5","0","0","0","770","13","0.01813471502590673575","0"
"0x00000000000000000000000000000000000550","688","false","7","0","0","0","519","26","0.05182341650671785029","0"
"0x00000000000000000000000000000000000551","695","false","6","0","0","0","1443","27","0.01937716262975778547","0"
"0x00000000000000000000000000000000000557","638","false","4","0","0","0","50","4","0.09615384615384615385","0"
"0x00000000000000000000000000000000000558","740","false","5","0","0","0","81","2","0.03614457831325301205","0"
"0x00000000000000000000000000000000000559","837","false","7","0","0","0","71","9","0.13698630136986301370","0"
"0x00000000000000000000000000000000000560","905","false","6","0","0","0","4202","64","0.01546146527117031399","0"
"0x00000000000000000000000000000000000561","625","false","4","0","0","0","1283","18","0.01478599221789883268","0"
"0x00000000000000000000000000000000000564","676","false","5","0","0","0","3394","27","0.00824499411071849234","0"
"0x00000000000000000000000000000000000566","8152","false","10","0","0","0","5681","341","0.06017948266760513813","0"
"0x00000000000000000000000000000000000569","4694","false","10","0","0","0","4610","319","0.06938421509106678231","0"
"0x00000000000000000000000000000000000570","7545","false","10","0","0","0","5489","188","0.03441995993443817155","0"
"0x00000000000000000000000000000000000572","49","false","5","0","0","0","764","24","0.03263707571801566580","0"
"0x00000000000000000000000000000000000580","3407","false","10","0","0","0","0","0","0.50000000000000000000","0"
"0x00000000000000000000000000000000000581","2255","false","10","0","0","0","0","0","0.50000000000000000000","0"
"0x00000000000000000000000000000000000583","5394","false","10","0","0","0","2","2","0.75000000000000000000","0"
"0x00000000000000000000000000000000000587","3605","true","10","5000","5000","0","19858","599","0.03021148036253776435","10000"
"0x434f8d1a3cc53f20346b47ec6fe0926f217d38ec","38","false","6","0","0","2","0","0","0.50000000000000000000","0"
"0xa8c2bef6882dce02f7005a76fbdd4bcf90cd8cf6","34","false","5","0","0","0","1","0","0.33333333333333333333","0"
"0xdce663ebfced815af8ceb3a7b1cf83f735f6d9fa","39","false","5","0","0","4","46034","428","0.00931879398731427578","0"
"0xecdebb57e01e2ea2969e48594d75df4e62afc9f4","6","false","8","0","0","0","0","0","0.50000000000000000000","0"
"0xf1a44074b567f94749e0bf7771468a7c708dfb8e","41","false","6","0","0","1","0","0","0.50000000000000000000","0"
